Users,Sub%,Subscribers,Neon DB,Vercel,Auth0,SnapTrade,Claude,Total Costs,Sub Revenue,Ad Revenue,Net Profit/Loss
10,5%,1,5,20,0,15,100,140,9,2,-129
10,10%,1,5,20,0,15,100,140,9,2,-129
10,20%,2,5,20,0,15,100,140,19,2,-119
10,30%,3,5,20,0,15,100,140,28,2,-110
10,40%,4,5,20,0,15,100,140,38,2,-100
100,5%,5,5,20,0,150,100,275,47,23,-205
100,10%,10,5,20,0,150,100,275,94,23,-158
100,20%,20,5,20,0,150,100,275,188,23,-64
100,30%,30,5,20,0,150,100,275,282,23,30
100,40%,40,5,20,0,150,100,275,376,23,124
200,5%,10,5,20,0,300,100,425,94,45,-286
200,10%,20,5,20,0,300,100,425,188,45,-192
200,20%,40,5,20,0,300,100,425,376,45,-4
200,30%,60,5,20,0,300,100,425,564,45,184
200,40%,80,5,20,0,300,100,425,751,45,371
300,5%,15,5,20,0,450,100,575,141,68,-366
300,10%,30,5,20,0,450,100,575,282,68,-225
300,20%,60,5,20,0,450,100,575,564,68,57
300,30%,90,5,20,0,450,100,575,845,68,338
300,40%,120,5,20,0,450,100,575,1127,68,620
400,5%,20,6,20,0,600,100,726,188,90,-448
400,10%,40,6,20,0,600,100,726,376,90,-260
400,20%,80,6,20,0,600,100,726,751,90,115
400,30%,120,6,20,0,600,100,726,1127,90,491
400,40%,160,6,20,0,600,100,726,1502,90,866
500,5%,25,6,20,0,750,100,876,235,113,-528
500,10%,50,6,20,0,750,100,876,470,113,-293
500,20%,100,6,20,0,750,100,876,939,113,176
500,30%,150,6,20,0,750,100,876,1409,113,646
500,40%,200,6,20,0,750,100,876,1878,113,1115
700,5%,35,7,20,0,700,100,827,329,158,-340
700,10%,70,7,20,0,700,100,827,658,158,-11
700,20%,140,7,20,0,700,100,827,1315,158,646
700,30%,210,7,20,0,700,100,827,1972,158,1303
700,40%,280,7,20,0,700,100,827,2629,158,1960
1000,5%,50,8,20,0,1000,100,1128,470,225,-433
1000,10%,100,8,20,0,1000,100,1128,939,225,36
1000,20%,200,8,20,0,1000,100,1128,1878,225,975
1000,30%,300,8,20,0,1000,100,1128,2817,225,1914
1000,40%,400,8,20,0,1000,100,1128,3756,225,2853
2000,5%,100,12,25,0,2000,100,2137,939,450,-748
2000,10%,200,12,25,0,2000,100,2137,1878,450,191
2000,20%,400,12,25,0,2000,100,2137,3756,450,2069
2000,30%,600,12,25,0,2000,100,2137,5634,450,3947
2000,40%,800,12,25,0,2000,100,2137,7512,450,5825
5000,5%,250,25,40,0,5000,100,5165,2348,1125,-1692
5000,10%,500,25,40,0,5000,100,5165,4695,1125,655
5000,20%,1000,25,40,0,5000,100,5165,9390,1125,5350
5000,30%,1500,25,40,0,5000,100,5165,14085,1125,10045
5000,40%,2000,25,40,0,5000,100,5165,18780,1125,14740
7500,5%,375,35,55,0,7500,100,7690,3521,1688,-2481
7500,10%,750,35,55,0,7500,100,7690,7043,1688,1041
7500,20%,1500,35,55,0,7500,100,7690,14085,1688,8083
7500,30%,2250,35,55,0,7500,100,7690,21128,1688,15126
7500,40%,3000,35,55,0,7500,100,7690,28170,1688,22168
10000,5%,500,45,70,0,10000,100,10215,4695,2250,-3270
10000,10%,1000,45,70,0,10000,100,10215,9390,2250,1425
10000,20%,2000,45,70,0,10000,100,10215,18780,2250,10815
10000,30%,3000,45,70,0,10000,100,10215,28170,2250,20205
10000,40%,4000,45,70,0,10000,100,10215,37560,2250,29595
20000,5%,1000,85,3500,0,20000,100,23685,9390,4500,-9795
20000,10%,2000,85,3500,0,20000,100,23685,18780,4500,-405
20000,20%,4000,85,3500,0,20000,100,23685,37560,4500,18375
20000,30%,6000,85,3500,0,20000,100,23685,56340,4500,37155
20000,40%,8000,85,3500,0,20000,100,23685,75120,4500,55935
30000,5%,1500,125,3500,240,30000,100,33965,14085,6750,-13130
30000,10%,3000,125,3500,240,30000,100,33965,28170,6750,955
30000,20%,6000,125,3500,240,30000,100,33965,56340,6750,29125
30000,30%,9000,125,3500,240,30000,100,33965,84510,6750,57295
30000,40%,12000,125,3500,240,30000,100,33965,112680,6750,85465
50000,5%,2500,200,3500,2400,50000,100,56200,23475,11250,-21475
50000,10%,5000,200,3500,2400,50000,100,56200,46950,11250,2000
50000,20%,10000,200,3500,2400,50000,100,56200,93900,11250,48950
50000,30%,15000,200,3500,2400,50000,100,56200,140850,11250,95900
50000,40%,20000,200,3500,2400,50000,100,56200,187800,11250,142850
75000,5%,3750,295,3500,5400,75000,100,84295,35213,16875,-32207
75000,10%,7500,295,3500,5400,75000,100,84295,70425,16875,3005
75000,20%,15000,295,3500,5400,75000,100,84295,140850,16875,73430
75000,30%,22500,295,3500,5400,75000,100,84295,211275,16875,143855
75000,40%,30000,295,3500,5400,75000,100,84295,281700,16875,214280
100000,5%,5000,390,3500,8400,100000,100,112390,46950,22500,-42940
100000,10%,10000,390,3500,8400,100000,100,112390,93900,22500,4010
100000,20%,20000,390,3500,8400,100000,100,112390,187800,22500,97910
100000,30%,30000,390,3500,8400,100000,100,112390,281700,22500,191810
100000,40%,40000,390,3500,8400,100000,100,112390,375600,22500,285710